dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month_year,cluster,year_month
2011-01-01,Spring,2011,January,Not Holiday,Saturday,Holiday,2,14,81,11,331,654,985,2011-01,0,2011-01
2011-01-02,Spring,2011,January,Not Holiday,Sunday,Holiday,2,15,70,17,131,670,801,2011-01,0,2011-01
2011-01-03,Spring,2011,January,Not Holiday,Monday,Working Day,1,8,44,17,120,1229,1349,2011-01,0,2011-01
2011-01-04,Spring,2011,January,Not Holiday,Tuesday,Working Day,1,8,59,11,108,1454,1562,2011-01,0,2011-01
2011-01-05,Spring,2011,January,Not Holiday,Wednesday,Working Day,1,9,44,13,82,1518,1600,2011-01,0,2011-01
2011-01-06,Spring,2011,January,Not Holiday,Thursday,Working Day,1,8,52,6,88,1518,1606,2011-01,0,2011-01
2011-01-07,Spring,2011,January,Not Holiday,Friday,Working Day,2,8,50,11,148,1362,1510,2011-01,0,2011-01
2011-01-08,Spring,2011,January,Not Holiday,Saturday,Holiday,2,7,54,18,68,891,959,2011-01,0,2011-01
2011-01-09,Spring,2011,January,Not Holiday,Sunday,Holiday,1,6,43,24,54,768,822,2011-01,0,2011-01
2011-01-10,Spring,2011,January,Not Holiday,Monday,Working Day,1,6,48,15,41,1280,1321,2011-01,0,2011-01
2011-01-11,Spring,2011,January,Not Holiday,Tuesday,Working Day,2,7,69,8,43,1220,1263,2011-01,0,2011-01
2011-01-12,Spring,2011,January,Not Holiday,Wednesday,Working Day,1,7,60,20,25,1137,1162,2011-01,0,2011-01
2011-01-13,Spring,2011,January,Not Holiday,Thursday,Working Day,1,7,47,20,38,1368,1406,2011-01,0,2011-01
2011-01-14,Spring,2011,January,Not Holiday,Friday,Working Day,1,7,54,8,54,1367,1421,2011-01,0,2011-01
2011-01-15,Spring,2011,January,Not Holiday,Saturday,Holiday,2,10,50,11,222,1026,1248,2011-01,0,2011-01
2011-01-16,Spring,2011,January,Not Holiday,Sunday,Holiday,1,9,48,13,251,953,1204,2011-01,0,2011-01
2011-01-17,Spring,2011,January,Holiday,Monday,Holiday,2,7,54,13,117,883,1000,2011-01,0,2011-01
2011-01-18,Spring,2011,January,Not Holiday,Tuesday,Working Day,2,9,86,10,9,674,683,2011-01,0,2011-01
2011-01-19,Spring,2011,January,Not Holiday,Wednesday,Working Day,2,12,74,14,78,1572,1650,2011-01,0,2011-01
2011-01-20,Spring,2011,January,Not Holiday,Thursday,Working Day,2,11,54,13,83,1844,1927,2011-01,0,2011-01
2011-01-21,Spring,2011,January,Not Holiday,Friday,Working Day,1,7,46,24,75,1468,1543,2011-01,0,2011-01
2011-01-22,Spring,2011,January,Not Holiday,Saturday,Holiday,1,2,40,12,93,888,981,2011-01,0,2011-01
2011-01-23,Spring,2011,January,Not Holiday,Sunday,Holiday,1,4,44,17,150,836,986,2011-01,0,2011-01
2011-01-24,Spring,2011,January,Not Holiday,Monday,Working Day,1,4,49,11,86,1330,1416,2011-01,0,2011-01
2011-01-25,Spring,2011,January,Not Holiday,Tuesday,Working Day,2,9,62,9,186,1799,1985,2011-01,0,2011-01
2011-01-26,Spring,2011,January,Not Holiday,Wednesday,Working Day,3,9,86,20,34,472,506,2011-01,0,2011-01
2011-01-27,Spring,2011,January,Not Holiday,Thursday,Working Day,1,8,69,8,15,416,431,2011-01,0,2011-01
2011-01-28,Spring,2011,January,Not Holiday,Friday,Working Day,2,8,79,8,38,1129,1167,2011-01,0,2011-01
2011-01-29,Spring,2011,January,Not Holiday,Saturday,Holiday,1,8,65,10,123,975,1098,2011-01,0,2011-01
2011-01-30,Spring,2011,January,Not Holiday,Sunday,Holiday,1,9,72,5,140,956,1096,2011-01,0,2011-01
2011-01-31,Spring,2011,January,Not Holiday,Monday,Working Day,2,7,60,13,42,1459,1501,2011-01,0,2011-01
2011-02-01,Spring,2011,February,Not Holiday,Tuesday,Working Day,2,8,83,4,47,1313,1360,2011-02,0,2011-02
2011-02-02,Spring,2011,February,Not Holiday,Wednesday,Working Day,2,11,78,18,72,1454,1526,2011-02,0,2011-02
2011-02-03,Spring,2011,February,Not Holiday,Thursday,Working Day,1,8,44,19,61,1489,1550,2011-02,0,2011-02
2011-02-04,Spring,2011,February,Not Holiday,Friday,Working Day,2,9,59,9,88,1620,1708,2011-02,0,2011-02
2011-02-05,Spring,2011,February,Not Holiday,Saturday,Holiday,2,10,93,11,100,905,1005,2011-02,0,2011-02
2011-02-06,Spring,2011,February,Not Holiday,Sunday,Holiday,1,12,57,10,354,1269,1623,2011-02,0,2011-02
2011-02-07,Spring,2011,February,Not Holiday,Monday,Working Day,1,11,74,3,120,1592,1712,2011-02,0,2011-02
2011-02-08,Spring,2011,February,Not Holiday,Tuesday,Working Day,1,9,54,24,64,1466,1530,2011-02,0,2011-02
2011-02-09,Spring,2011,February,Not Holiday,Wednesday,Working Day,2,6,49,13,53,1552,1605,2011-02,0,2011-02
2011-02-10,Spring,2011,February,Not Holiday,Thursday,Working Day,1,6,44,15,47,1491,1538,2011-02,0,2011-02
2011-02-11,Spring,2011,February,Not Holiday,Friday,Working Day,1,8,51,7,149,1597,1746,2011-02,0,2011-02
2011-02-12,Spring,2011,February,Not Holiday,Saturday,Holiday,1,9,54,14,288,1184,1472,2011-02,0,2011-02
